km/l;IAT(°C);RPM;MAP(kPa);km/h;Engine Load(%);Throttle position(%);Class
8,620689655;54;2424;84;44;84;35,69;Torque
7,194244604;54;2925;84;44;67;35,69;Torque
7,194244604;54;2925;84;44;67;35,69;Torque
7,194244604;54;2925;84;44;67;35,69;Torque
7,194244604;54;2925;84;44;67;35,69;Torque
7,194244604;54;2925;84;44;67;35,69;Torque
7,194244604;54;2925;84;44;67;35,69;Torque
7,194244604;54;2925;84;44;67;35,69;Torque
7,194244604;54;2925;84;44;67;15,29;Torque
7,194244604;54;2925;84;44;67;15,29;Torque
28,57142857;54;2925;21;44;67;15,29;Torque
31,25;54;2211;21;47;23;14,9;Torque
31,25;54;2211;27;47;23;14,9;Torque
28,57142857;54;2211;27;43;18;14,9;Torque
31,25;54;2019;27;43;18;14,9;Torque
31,25;54;2019;27;43;18;14,9;Torque
27,77777778;54;2019;31;43;18;14,9;Torque
23,80952381;54;2019;31;37;18;14,9;Torque
29,41176471;54;1644;31;37;20;15,29;Torque
29,41176471;54;1644;31;37;20;15,29;Torque
12,98701299;54;1644;69;37;20;15,29;Torque
6,369426752;54;1644;69;18;20;15,29;Torque
12,19512195;54;858;69;18;49;15,29;Torque
12,19512195;54;858;69;18;49;15,29;Torque
12,19512195;54;858;69;18;49;15,29;Torque
12,19512195;54;858;69;18;49;15,29;Torque
12,19512195;54;858;69;18;49;15,29;Torque
12,19512195;54;858;69;18;49;15,29;Torque
12,19512195;54;858;69;18;49;15,29;Torque
12,19512195;54;858;69;18;49;24,31;Torque
12,19512195;54;858;69;18;49;24,31;Torque
10,41666667;54;858;81;18;49;24,31;Torque
11,49425287;54;858;81;20;65;24,31;Torque
4,484304933;54;2206;81;20;65;24,31;Torque
4,484304933;54;2206;81;20;65;24,31;Torque
4,484304933;54;2206;81;20;65;24,31;Torque
4,484304933;54;2206;81;20;65;24,31;Torque
4,484304933;54;2206;81;20;65;24,31;Torque
4,484304933;54;2206;81;20;65;24,31;Torque
4,484304933;54;2206;81;20;65;24,31;Torque
4,484304933;54;2206;81;20;65;26,27;Torque
4,484304933;54;2206;81;20;65;26,27;Torque
14,49275362;54;2206;25;20;65;26,27;Torque
21,73913043;54;2206;25;30;23;26,27;Torque
19,60784314;54;2438;25;30;23;26,27;Torque
19,60784314;54;2438;25;30;23;18,04;Torque
19,60784314;51;2438;25;30;23;18,04;Torque
5,376344086;51;2438;91;30;23;18,04;Torque
5,376344086;51;2438;91;30;23;18,04;Torque
